1;1;A;Admin
2;12345;M1;member;AI,Machine learning
3;ABCD;M2;member;zgA
4;Ali123;Ali;member;Cybersecurity and Privacy,Computer Vision,Natural Language Processing5
5;user123;member1;member;Artificial Intelligence,Robotics
6;pass456;member2;member;Data Science,Machine Learning
7;secure789;member3;member;Cybersecurity,Blockchain
8;science321;member4;member;Physics,Quantum Computing
9;tech007;member5;member;Technology Trends,Innovation
10;code567;member6;member;Programming,Software Development
11;design123;member7;member;Graphic Design,User Experience
12;researcher;member8;member;Research Methods,Experimental Psychology
13;biohacker;member9;member;Biohacking,Genetic Engineering
14;star_wars;member10;member;Science Fiction,Fantasy
15;explorer123;member11;member;Space Exploration,Astronomy
16;naturelover;member12;member;Environmental Science,Conservation
17;mathgeek;member13;member;Mathematics,Number Theory
18;bookworm;member14;member;Literature,Book Reviews
19;musiclover;member15;member;Music Theory,Composition
